invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country,revenue,month
547486,22066,LOVE HEART TRINKET POT,48,23/03/2011,0.39,13576,United Kingdom,18.72,March
565835,22197,POPCORN HOLDER,2,7/09/2011,0.85,14452,United Kingdom,1.7,September
541279,22198,LARGE POPCORN HOLDER,12,17/01/2011,1.65,18223,United Kingdom,19.8,January
545400,22251,BIRDHOUSE DECORATION MAGIC GARDEN,12,2/03/2011,1.25,17048,United Kingdom,15,March
538260,22972,CHILDREN'S SPACEBOY MUG,12,10/12/2010,1.65,18178,United Kingdom,19.8,December
556905,21864,UNION JACK FLAG PASSPORT COVER,1,15/06/2011,2.1,16904,United Kingdom,2.1,June
561474,21731,RED TOADSTOOL LED NIGHT LIGHT,48,27/07/2011,1.65,14680,United Kingdom,79.2,July
572726,21166,COOK WITH WINE METAL SIGN,3,25/10/2011,2.08,16056,United Kingdom,6.24,October
552013,22417,PACK OF 60 SPACEBOY CAKE CASES,48,5/05/2011,0.55,12451,Switzerland,26.4,May
573323,82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2,30/10/2011,8.95,15708,United Kingdom,17.9,October
570423,20725,LUNCH BAG RED RETROSPOT,5,10/10/2011,1.65,14451,United Kingdom,8.25,October
575710,22425,ENAMEL COLANDER CREAM,1,10/11/2011,4.95,17901,United Kingdom,4.95,November
572319,22534,MAGIC DRAWING SLATE SPACEBOY,4,23/10/2011,0.42,14704,United Kingdom,1.68,October
560576,22576,SWALLOW WOODEN CHRISTMAS DECORATION,6,19/07/2011,0.85,17287,United Kingdom,5.1,July
577093,23389,SPACEBOY MINI BACKPACK,8,17/11/2011,4.15,13089,United Kingdom,33.2,November
569243,23294,SET OF 6 SNACK LOAF BAKING CASES,8,3/10/2011,0.83,13344,United Kingdom,6.64,October
536488,21895,POTTING SHED SOW 'N' GROW SET,1,1/12/2010,4.25,17897,United Kingdom,4.25,December
546465,22277,COSMETIC BAG VINTAGE ROSE PAISLEY,5,14/03/2011,2.1,14395,United Kingdom,10.5,March
562025,23210,WHITE ROCKING HORSE HAND PAINTED,24,1/08/2011,1.25,12828,United Kingdom,30,August
570674,22049,WRAP CHRISTMAS SCREEN PRINT,25,11/10/2011,0.19,14911,EIRE,4.75,October
549116,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,6,6/04/2011,3.25,16670,United Kingdom,19.5,April
572242,22839,3 TIER CAKE TIN GREEN AND CREAM,2,21/10/2011,14.95,15677,United Kingdom,29.9,October
570818,22189,CREAM HEART CARD HOLDER,2,12/10/2011,3.95,17841,United Kingdom,7.9,October
556733,22649,STRAWBERRY FAIRY CAKE TEAPOT,2,14/06/2011,4.95,16919,United Kingdom,9.9,June
542221,22499,WOODEN UNION JACK BUNTING,4,26/01/2011,5.95,14978,United Kingdom,23.8,January
580128,22470,HEART OF WICKER LARGE,2,1/12/2011,2.95,17576,United Kingdom,5.9,December
572312,23392,SPACEBOY ROCKET LOLLY MAKERS,1,23/10/2011,2.08,15022,United Kingdom,2.08,October
564173,21922,UNION STRIPE WITH FRINGE HAMMOCK,10,23/08/2011,7.95,12567,France,79.5,August
549964,22090,PAPER BUNTING RETROSPOT,6,13/04/2011,2.95,13122,United Kingdom,17.7,April
548712,22625,RED KITCHEN SCALES,1,3/04/2011,8.5,17050,United Kingdom,8.5,April
572284,23138,SINGLE WIRE HOOK IVORY HEART,3,23/10/2011,1.45,16744,United Kingdom,4.35,October
543653,21231,SWEETHEART CERAMIC TRINKET BOX,16,11/02/2011,1.25,14796,United Kingdom,20,February
571284,23338,EGG FRYING PAN RED,1,16/10/2011,2.08,14562,United Kingdom,2.08,October
573123,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,12,27/10/2011,1.25,13654,United Kingdom,15,October
577217,23423,PANTRY 3 HOOK ROLLING PIN HANGER,1,18/11/2011,3.75,17324,United Kingdom,3.75,November
563832,84879,ASSORTED COLOUR BIRD ORNAMENT,8,19/08/2011,1.69,16419,United Kingdom,13.52,August
547002,21669,BLUE STRIPE CERAMIC DRAWER KNOB,12,18/03/2011,1.25,12878,United Kingdom,15,March
557397,23338,EGG FRYING PAN RED,1,20/06/2011,2.08,17897,United Kingdom,2.08,June
542398,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,2,27/01/2011,2.95,13174,United Kingdom,5.9,January
565448,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4,4/09/2011,4.95,16057,United Kingdom,19.8,September
561331,22951,60 CAKE CASES DOLLY GIRL DESIGN,5,26/07/2011,0.55,16809,United Kingdom,2.75,July
551436,22371,AIRLINE BAG VINTAGE TOKYO 78,1,28/04/2011,4.25,16904,United Kingdom,4.25,April
566296,22998,TRAVEL CARD WALLET KEEP CALM,1,11/09/2011,0.42,17841,United Kingdom,0.42,September
569897,21619,4 VANILLA BOTANICAL CANDLES,1,6/10/2011,3.75,17813,United Kingdom,3.75,October
565397,23127,FELTCRAFT GIRL NICOLE KIT,1,2/09/2011,4.95,14171,United Kingdom,4.95,September
573923,20679,EDWARDIAN PARASOL RED,1,2/11/2011,5.95,17965,United Kingdom,5.95,November
545655,20856,DENIM PATCH PURSE PINK BUTTERFLY,2,4/03/2011,1.65,14670,United Kingdom,3.3,March
552835,22584,PACK OF 6 PANNETONE GIFT BOXES,6,11/05/2011,2.55,17664,United Kingdom,15.3,May
549713,22716,CARD CIRCUS PARADE,12,11/04/2011,0.42,17611,United Kingdom,5.04,April
562102,21749,LARGE RED RETROSPOT WINDMILL,6,2/08/2011,2.1,13089,United Kingdom,12.6,August
551542,22822,CREAM WALL PLANTER HEART SHAPED,6,3/05/2011,5.95,14732,United Kingdom,35.7,May
537440,22095,LADS ONLY TISSUE BOX,1,6/12/2010,1.25,17869,United Kingdom,1.25,December
567297,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,19/09/2011,4.25,15594,United Kingdom,17,September
569212,22113,GREY HEART HOT WATER BOTTLE,4,2/10/2011,4.25,15164,United Kingdom,17,October
558198,17038,PORCELAIN BUDAH INCENSE HOLDER,1,27/06/2011,0.1,14104,United Kingdom,0.1,June
561453,21165,BEWARE OF THE CAT METAL SIGN,12,27/07/2011,1.69,13183,United Kingdom,20.28,July
541285,22090,PAPER BUNTING RETROSPOT,12,17/01/2011,2.95,13001,United Kingdom,35.4,January
577336,22835,HOT WATER BOTTLE I AM SO POORLY,4,18/11/2011,4.95,14793,United Kingdom,19.8,November
555545,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,10,5/06/2011,2.08,17735,United Kingdom,20.8,June
574042,22819,"BIRTHDAY CARD, RETRO SPOT",12,2/11/2011,0.42,17947,United Kingdom,5.04,November
565475,21524,DOORMAT SPOTTY HOME SWEET HOME,60,5/09/2011,6.75,14156,EIRE,405,September
553390,21452,TOADSTOOL MONEY BOX,1,16/05/2011,2.95,17841,United Kingdom,2.95,May
550832,48116,DOORMAT MULTICOLOUR STRIPE,10,21/04/2011,6.75,17588,United Kingdom,67.5,April
547488,22472,TV DINNER TRAY DOLLY GIRL,1,23/03/2011,4.95,13821,United Kingdom,4.95,March
551516,20727,LUNCH BAG BLACK SKULL.,10,1/05/2011,1.65,14800,United Kingdom,16.5,May
570720,23245,SET OF 3 REGENCY CAKE TINS,4,12/10/2011,4.95,17934,United Kingdom,19.8,October
581443,22393,PAPERWEIGHT VINTAGE COLLAGE,36,8/12/2011,0.39,13026,United Kingdom,14.04,December
568802,23393,HOME SWEET HOME CUSHION COVER,4,29/09/2011,3.75,14834,United Kingdom,15,September
580771,22754,SMALL RED BABUSHKA NOTEBOOK,2,6/12/2011,0.21,16015,United Kingdom,0.42,December
573338,23284,DOORMAT KEEP CALM AND COME IN,1,30/10/2011,8.25,14546,United Kingdom,8.25,October
547375,22961,JAM MAKING SET PRINTED,12,22/03/2011,1.45,13196,United Kingdom,17.4,March
580162,84992,72 SWEETHEART FAIRY CAKE CASES,2,2/12/2011,0.55,12856,United Kingdom,1.1,December
574269,23130,MISTLETOE HEART WREATH GREEN,4,3/11/2011,4.15,15570,United Kingdom,16.6,November
568346,22947,WOODEN ADVENT CALENDAR RED,1,26/09/2011,16.63,14096,United Kingdom,16.63,September
551527,21174,POTTERING IN THE SHED METAL SIGN,1,1/05/2011,2.08,14395,United Kingdom,2.08,May
560893,22138,BAKING SET 9 PIECE RETROSPOT,3,21/07/2011,4.95,13804,United Kingdom,14.85,July
544647,22027,TEA PARTY BIRTHDAY CARD,36,22/02/2011,0.42,14060,United Kingdom,15.12,February
554131,23088,ZINC HEART FLOWER T-LIGHT HOLDER,16,23/05/2011,1.25,13988,United Kingdom,20,May
544692,22607,WOODEN ROUNDERS GARDEN SET,4,23/02/2011,9.95,17499,United Kingdom,39.8,February
