total_revenue_description,country,total_sales_countries,month,monthly_sales,description,total_quantity_discription
2256,United Kingdom,27901.59,November,4586.87,GROW A FLYTRAP OR SUNFLOWER IN TIN,2256
1346.1,Germany,1544.2,September,4383.14,REGENCY CAKESTAND 3 TIER,1346.1
1183.05,Netherlands,1212.34,October,4024.73,DOORMAT KEEP CALM AND COME IN,1183.05
460.95,EIRE,1210.6,February,3895.03,DOORMAT SPOTTY HOME SWEET HOME,460.95
459.2,France,671.33,August,3286.84,POPCORN HOLDER,459.2
378,Australia,470.4,December,2764.31,LOVE HEART POCKET WARMER,378
341.23,Sweden,278.4,January,2484.09,SET OF 4 PANTRY JELLY MOULDS,341.23
316.85,Spain,225.52,March,2285.75,CINDERELLA CHANDELIER,316.85
295.8,Belgium,144.3,May,1994.51,SET OF 72 RETROSPOT PAPER DOILIES,295.8
289.05,Denmark,129.68,April,1765.92,ROUND SNACK BOXES SET OF4 WOODLAND,289.05
285.2,Poland,129.06,June,1666.26,WOODEN UNION JACK BUNTING,285.2
244.3,Norway,115.85,July,1601.45,JUMBO BAG PINK POLKADOT,244.3
243.36,Switzerland,112.58,,,PAINTED METAL PEARS ASSORTED,243.36
237.4,Italy,100.5,,,JUMBO BAG PEARS,237.4
221.25,Portugal,96.66,,,PARTY BUNTING,221.25
216.32,Singapore,89.52,,,ASSORTED COLOUR BIRD ORNAMENT,216.32
214.1,Channel Islands,85.05,,,PAPER CHAIN KIT 50'S CHRISTMAS,214.1
206.05,Japan,66.72,,,LUNCH BAG SPACEBOY DESIGN,206.05
201.24,Canada,45,,,RED TOADSTOOL LED NIGHT LIGHT,201.24
200.93,Cyprus,42.45,,,SET OF 3 HANGING OWLS OLLIE BEAK,200.93
,Malta,26.1,,,,
,Unspecified,22.33,,,,
,Israel,18.72,,,,
